timestamp,n_python_processes,total_rss_mb,per_process_rss_mb,available_memory_mb
2026-08-16T22:14:02,0,0,"",26746.7
2026-08-16T22:14:07,14,312.1,"8,8;15,9;11,5;3;10,9;9,5;8,2;12,5;10;7,9;10,3;188,3;3,3;12",26403.3
2026-08-16T22:14:12,14,6123.1,"539,5;315,6;315,6;537,7;420,3;701,9;696;718,3;411,3;539,5;315,8;188,6;3,3;419,7",21147
2026-08-16T22:14:17,14,11506.7,"1515,3;308,4;282,4;1542,3;1074;864,2;844,8;942,4;1043,9;1544,2;305,1;188,6;3,3;1047,8",15265.3
2026-08-16T22:14:23,14,13446.2,"1945,2;659,1;683,6;1947,9;561,1;1175,3;1134;1237,5;630,4;1959,9;691,6;188,6;3,3;628,6",13971.9
2026-08-16T22:14:28,14,17636.6,"1750,9;357,4;326,8;1750,5;1170,3;2516,7;2413;2593,1;1189;1764,8;390,2;188,6;3,3;1221,9",9614.4
2026-08-16T22:14:33,14,16360.1,"1398,1;358,4;489,3;1397,9;1418,5;2068,9;2006,9;2138,3;1531,6;1403,2;391;188,6;3,3;1566",10776.7
2026-08-16T22:14:38,14,7051.8,"404,5;358,7;1214;372,1;304,2;872,6;867,5;900;417,5;405,5;391,5;188,6;3,3;351,6",20051.9
2026-08-16T22:14:44,14,11412.5,"1208,4;359,6;743,3;1105,2;305,1;1680,6;1675,8;1801,2;418,3;1178,6;391,9;188,6;3,3;352,4",15501.2
2026-08-16T22:14:49,14,13860.2,"1974,8;360,5;775,9;1809,7;305,6;1786,1;1751,7;1877,9;418,9;1861,9;392,4;188,6;3,3;352,9",13397.5
2026-08-16T22:14:55,14,16298.1,"2297,2;586,1;1415,9;2224,8;306,5;2097,9;1484,4;2284,2;419,3;2243,6;392,7;188,6;3,3;353,4",10753.8
2026-08-16T22:15:00,14,17531.3,"2262,8;1317,8;1521,4;2167,1;259,2;2140,8;1981,3;2244;419,7;2278,2;393,1;188,7;3,3;353,8",9407.2
2026-08-16T22:15:05,14,22513,"2558,3;944;1364,6;2572,9;795,9;3460,5;3293,7;3610,9;420,2;2552,4;393,7;188,7;3,3;354,2",5392.7
2026-08-16T22:15:11,14,22661.1,"2961,6;926,1;540,4;2948,8;1311,9;3191,9;3019,9;3456;420,4;2943,2;394,4;188,6;3,3;354,6",4515.5
2026-08-16T22:15:16,14,21531.8,"2606,4;1536,9;541,2;2321,9;833,4;3122,9;3145,9;3472,1;420,7;2590,7;392,7;188,6;3,3;355,1",6618.1
2026-08-16T22:15:22,14,12470,"2002,4;1593;541,8;1929,7;1104,7;827,8;1056,8;456,6;420,9;1594,7;393,9;188,6;3,3;355,7",14543.5
2026-08-16T22:15:27,14,7202.6,"412,8;1160,5;542,1;483,6;1580,3;413,5;346,9;457,8;421,1;441,1;394,4;188,6;3,3;356,6",20198.3
2026-08-16T22:15:32,14,6845.8,"413,3;463,1;542,4;484,4;1986,7;414,1;278,7;458,3;421,2;441,9;394,8;188,6;3,3;355",21375.9
2026-08-16T22:15:38,14,5755.2,"281;463,9;542,5;484,7;1025,1;414,5;278,7;458,6;421,3;442,4;395,1;188,6;3,3;355,5",21535.7
2026-08-16T22:15:43,14,5053.5,"281;464,4;542,6;485,1;321,1;414,8;278,7;458,8;421,4;442,7;395,3;188,6;3,3;355,8",22442.8
2026-08-16T22:15:48,14,5055.8,"281;464,7;542,8;485,2;321,6;415;278,7;458,9;421,5;442,9;395,4;188,6;3,3;356,1",22424
2026-08-16T22:15:53,14,5058.3,"281;464,9;542,8;485,4;322,5;415,3;278,7;459;421,5;443,2;395,6;188,6;3,3;356,3",22415.1
2026-08-16T22:15:59,14,5060.1,"281;465,2;542,9;485,5;322,7;415,7;278,7;459,2;421,6;443,4;395,8;188,6;3,3;356,5",22410.1
2026-08-16T22:16:04,14,5062.6,"281;465,4;543;485,6;323,3;416,3;278,7;459,4;421,7;443,7;395,9;188,6;3,3;356,8",22418.9
2026-08-16T22:16:09,14,5024.6,"281;465,6;543,1;485,8;284,7;415,6;278,7;459,5;421,7;443,9;396,1;188,6;3,3;357",22462.1
2026-08-16T22:16:14,14,5026.4,"281;465,8;543,1;485,9;284,7;416,3;278,7;459,6;421,8;444,3;396,2;188,6;3,3;357,1",22466.4
2026-08-16T22:16:19,14,5028.1,"281;466;543,2;486;284,7;416,7;278,7;459,7;421,8;444,7;396,4;188,6;3,3;357,3",22457.4
2026-08-16T22:16:24,14,5029.9,"281;466,2;543,3;486,1;284,6;417;278,7;459,8;421,9;445,4;396,7;188,6;3,3;357,4",22468.7
2026-08-16T22:16:30,14,5030.3,"281;466,5;543,4;486,2;284,6;417,4;278,7;459,9;421,9;444,3;396,9;188,6;3,3;357,6",22467.8
2026-08-16T22:16:35,14,5032.5,"281;466,8;543,5;486,3;284,6;417,8;278,7;460;422;444,9;397,2;188,6;3,3;357,8",22493.3
2026-08-16T22:16:40,14,5034.5,"281;467,2;543,6;486,4;284,6;418,2;278,7;460,1;422,1;445,3;397,5;188,6;3,3;358",22475.6
2026-08-16T22:16:45,14,5036.9,"281;467,6;543,6;486,5;284,6;418,9;278,7;460,2;422,1;445,6;397,8;188,6;3,3;358,2",22440.1
2026-08-16T22:16:50,14,4959.2,"281;466,2;543,8;486,6;284,6;340,3;278,7;460,4;422,2;446;398,9;188,6;3,3;358,5",22552.2
2026-08-16T22:16:56,14,4880,"281;467,3;544;486,8;284,6;340,3;278,7;460,6;422,4;446,4;317,1;188,6;3,3;359,1",22631.9
2026-08-16T22:17:01,14,4882.5,"281;467,8;544,1;486,9;284,6;340,3;278,7;460,7;422,4;446,9;317,1;188,6;3,3;360",22593.3
2026-08-16T22:17:06,14,4801.5,"281;468,3;544,3;487,1;284,6;340,3;278,7;460,9;422,6;447,5;317,1;188,6;3,3;277,3",22692.2
2026-08-16T22:17:11,14,4824.6,"281;468,8;544,4;487,4;284,6;340,3;278,7;461,1;422,7;469,4;317,1;188,6;3,3;277,3",22648.9
2026-08-16T22:17:16,14,4708.4,"281;469,3;544,6;487,6;284,6;340,3;278,7;461,4;422,9;351,8;317,1;188,6;3,3;277,3",22790.8
2026-08-16T22:17:21,14,4709.7,"281;469,8;544,8;487,8;284,6;340,3;278,7;461,6;423;351,8;317,1;188,6;3,3;277,3",22728.4
2026-08-16T22:17:26,14,4711.3,"281;470,5;545;488,1;284,6;340,3;278,7;461,8;423,2;351,8;317,1;188,6;3,3;277,3",22737.3
2026-08-16T22:17:31,14,4893.6,"281;651,9;545,3;488,3;284,6;340,3;278,7;462,1;423,4;351,8;317,1;188,6;3,3;277,3",22812.5
2026-08-16T22:17:36,14,4634.5,"281;391,8;545,5;488,6;284,6;340,3;278,7;462,3;423,6;351,8;317,1;188,6;3,3;277,3",22809.5
2026-08-16T22:17:41,14,4635.5,"281;391,8;545,7;488,8;284,6;340,3;278,7;462,6;423,8;351,8;317,1;188,6;3,3;277,3",22821.1
2026-08-16T22:17:47,14,4636.5,"281;391,8;545,9;489;284,6;340,3;278,7;463;424;351,8;317,1;188,6;3,3;277,3",22815.6
2026-08-16T22:17:52,14,4637.6,"281;391,8;546,1;489,3;284,6;340,3;278,7;463,4;424,2;351,8;317,1;188,6;3,3;277,3",22827.4
2026-08-16T22:17:57,14,4638.8,"281;391,8;546,4;489,5;284,6;340,3;278,7;463,8;424,5;351,8;317,1;188,6;3,3;277,3",22830.7
2026-08-16T22:18:02,14,4640,"281;391,8;546,6;489,8;284,6;340,3;278,7;464,3;424,7;351,8;317,1;188,6;3,3;277,3",22829.2
2026-08-16T22:18:07,14,4641.2,"281;391,8;546,8;489,9;284,6;340,3;278,7;464,8;425;351,8;317,1;188,6;3,3;277,3",22833.9
2026-08-16T22:18:12,14,4642.7,"281;391,8;547,1;490,2;284,6;340,3;278,7;465,5;425,3;351,8;317,1;188,6;3,3;277,3",22854.2
2026-08-16T22:18:17,14,4645.2,"281;391,8;547,4;490,5;284,6;340,3;278,7;467,1;425,6;351,8;317,1;188,6;3,3;277,3",22820.8
2026-08-16T22:18:22,14,4642.7,"281;391,8;547,7;490,8;284,6;340,3;278,7;463,7;426;351,8;317,1;188,6;3,3;277,3",22840.6
2026-08-16T22:18:27,14,4644.3,"281;391,8;548;491,1;284,6;340,3;278,7;464,4;426,3;351,8;317,1;188,6;3,3;277,3",22834.2
2026-08-16T22:18:32,14,4645.9,"281;391,8;548,3;491,4;284,6;340,3;278,7;464,9;426,7;351,8;317,1;188,6;3,3;277,3",22839.4
2026-08-16T22:18:37,14,4647.5,"281;391,8;548,6;491,7;284,6;340,3;278,7;465,4;427,1;351,8;317,1;188,6;3,3;277,3",22829.1
2026-08-16T22:18:42,14,4649.2,"281;391,8;549;492,1;284,6;340,3;278,7;465,8;427,7;351,8;317,1;188,6;3,3;277,3",22832.8
2026-08-16T22:18:47,14,4651.3,"281;391,8;549,5;492,5;284,6;340,3;278,7;466,2;428,6;351,8;317,1;188,6;3,3;277,3",22836
2026-08-16T22:18:52,14,4648.3,"281;391,8;550;493;284,6;340,3;278,7;466,6;424,2;351,8;317,1;188,6;3,3;277,3",22837.4
2026-08-16T22:18:57,14,4651.1,"281;391,8;550,7;493,7;284,6;340,3;278,7;466,9;425,3;351,8;317,1;188,6;3,3;277,3",22822.6
2026-08-16T22:19:03,14,4654.4,"281;391,8;552;494,8;284,6;340,3;278,7;467,2;425,9;351,8;317,1;188,6;3,3;277,3",22833.6
2026-08-16T22:19:08,14,4647.7,"281;391,9;547,7;490,9;284,7;340,3;278,7;467,6;426,5;351,9;317,1;188,7;3,3;277,3",22844.8
2026-08-16T22:19:13,14,4650.1,"281;391,9;548,5;491,7;284,7;340,3;278,7;467,9;427;351,9;317,1;188,7;3,3;277,3",22847.6
2026-08-16T22:19:18,14,4651.9,"281;391,9;549;492,3;284,7;340,3;278,7;468,2;427,4;351,9;317,1;188,7;3,3;277,3",22842.8
2026-08-16T22:19:23,14,4653.5,"281;391,9;549,5;492,7;284,7;340,3;278,7;468,6;427,7;351,9;317,1;188,7;3,3;277,3",22849.5
2026-08-16T22:19:28,14,4655,"281;391,9;549,9;493,1;284,7;340,3;278,7;468,9;428;351,9;317,1;188,7;3,3;277,3",22833.6
2026-08-16T22:19:33,14,4656.4,"281;391,9;550,3;493,5;284,7;340,3;278,7;469,3;428,4;351,9;317,1;188,7;3,3;277,3",22844
2026-08-16T22:19:38,14,4657.8,"281;391,9;550,6;493,8;284,7;340,3;278,7;469,8;428,6;351,9;317,1;188,7;3,3;277,3",22820.4
2026-08-16T22:19:43,14,4659.1,"281;391,9;550,9;494,1;284,7;340,3;278,7;470,3;428,9;351,9;317,1;188,7;3,3;277,3",22836
2026-08-16T22:19:48,14,4660.7,"281;391,9;551,2;494,4;284,7;340,3;278,7;471;429,1;351,9;317,1;188,7;3,3;277,3",22836.6
2026-08-16T22:19:53,14,4662.8,"281;391,9;551,5;494,7;284,7;340,3;278,7;472,2;429,4;351,9;317,1;188,7;3,3;277,3",22836.7
2026-08-16T22:19:58,14,4518.6,"281;391,9;551,8;495;284,7;340,3;278,7;327,2;429,7;351,9;317,1;188,8;3,3;277,3",22971.2
2026-08-16T22:20:03,14,4519.5,"281;391,9;552,1;495,3;284,7;340,3;278,7;327,2;429,9;351,9;317,1;188,8;3,3;277,3",22970
2026-08-16T22:20:08,14,4520.4,"281;391,9;552,4;495,6;284,7;340,3;278,7;327,2;430,2;351,9;317,1;188,8;3,3;277,3",22977.1
2026-08-16T22:20:14,14,4521.3,"281;391,9;552,7;495,9;284,7;340,3;278,7;327,2;430,5;351,9;317,1;188,8;3,3;277,3",22965.3
2026-08-16T22:20:19,14,4522.2,"281;391,9;553;496,2;284,7;340,3;278,7;327,2;430,8;351,9;317,1;188,8;3,3;277,3",22972.4
2026-08-16T22:20:24,14,4523,"281;391,9;553,3;496,5;284,7;340,3;278,7;327,2;431;351,9;317,1;188,8;3,3;277,3",22967
2026-08-16T22:20:29,14,4523.9,"281;391,9;553,5;496,8;284,7;340,3;278,7;327,2;431,4;351,9;317,1;188,8;3,3;277,3",22957.2
2026-08-16T22:20:34,14,4524.9,"281;391,9;553,8;497,2;284,7;340,3;278,7;327,2;431,7;351,9;317,1;188,8;3,3;277,3",22956.7
2026-08-16T22:20:39,14,4525.9,"281;391,9;554,2;497,5;284,7;340,3;278,7;327,2;432;351,9;317,1;188,8;3,3;277,3",22977.4
2026-08-16T22:20:44,14,4526.9,"281;391,9;554,5;497,9;284,7;340,3;278,7;327,2;432,4;351,9;317,1;188,8;3,3;277,3",22986
2026-08-16T22:20:49,14,4528.2,"281;391,9;555;498,3;284,7;340,3;278,7;327,2;432,7;351,9;317,1;188,7;3,3;277,3",22985.2
2026-08-16T22:20:54,14,4529.3,"281;391,9;555,4;498,8;284,7;340,3;278,7;327,1;433,2;351,9;317,1;188,7;3,3;277,3",22971.2
2026-08-16T22:20:59,14,4530.9,"281;391,9;555,9;499,3;284,7;340,3;278,7;327,1;433,7;351,9;317,1;188,7;3,3;277,3",23044.6
2026-08-16T22:21:04,14,4532.7,"281;391,9;556,5;500;284,7;340,3;278,7;327,1;434,2;351,9;317,1;188,7;3,3;277,3",23040.8
2026-08-16T22:21:09,14,4535.4,"281;391,9;557,2;501,2;284,7;340,3;278,7;327,1;435;351,9;317,1;188,7;3,3;277,3",23051.1
2026-08-16T22:21:14,14,4363.8,"281;391,9;558,7;326,4;284,7;340,3;278,7;327,1;436,7;351,9;317,1;188,7;3,3;277,3",23225.9
2026-08-16T22:21:19,0,0,"",26745.9
2026-08-16T22:21:24,0,0,"",26743.9
2026-08-16T22:21:29,0,0,"",26750.5
2026-08-16T22:21:34,0,0,"",26746.6
2026-08-16T22:21:39,0,0,"",26744.7
2026-08-16T22:21:44,0,0,"",26742.2
2026-08-16T22:21:49,0,0,"",26740.1
2026-08-16T22:21:54,0,0,"",26740.2
2026-08-16T22:22:00,0,0,"",26743.8
2026-08-16T22:22:05,0,0,"",26737.8
2026-08-16T22:22:10,0,0,"",26741.7
2026-08-16T22:22:15,0,0,"",26734.1
2026-08-16T22:22:20,0,0,"",26713.6
2026-08-16T22:22:25,0,0,"",26718.6
2026-08-16T22:22:30,0,0,"",26717.1
2026-08-16T22:22:35,0,0,"",26718.4
2026-08-16T22:22:40,0,0,"",26720.8
2026-08-16T22:22:45,0,0,"",26721.8
2026-08-16T22:22:50,0,0,"",26728.9
2026-08-16T22:22:55,0,0,"",26724.1
2026-08-16T22:23:00,0,0,"",26726.2
2026-08-16T22:23:05,0,0,"",26725.3
2026-08-16T22:23:10,0,0,"",26732.6
2026-08-16T22:23:15,0,0,"",26731.7
2026-08-16T22:23:20,0,0,"",26732.3
2026-08-16T22:23:25,0,0,"",26725.5
2026-08-16T22:23:30,0,0,"",26709.4
2026-08-16T22:23:35,0,0,"",26713
2026-08-16T22:23:40,0,0,"",26712
