timestamp,n_python_processes,total_rss_mb,per_process_rss_mb,available_memory_mb
2026-08-16T21:50:27,0,0,"",26392.5
2026-08-16T21:50:33,0,0,"",26372.1
2026-08-16T21:50:38,6,1919.4,"188,2;316,9;470,8;472,9;467,1;3,4",24559.3
2026-08-16T21:50:43,6,5100.8,"188,4;293,6;1528,4;1527,5;1559,6;3,4",20388.4
2026-08-16T21:50:48,6,4860,"188,4;293,6;1466,6;1435,3;1472,8;3,4",19920.8
2026-08-16T21:50:53,6,10621.6,"188,4;293,6;3369,2;3362,3;3404,7;3,4",14027.9
2026-08-16T21:50:58,6,11558.5,"188,4;293,6;3694,7;3647,2;3731,3;3,4",15058
2026-08-16T21:51:03,6,14755.7,"188,4;293,6;4780,4;4718,8;4771;3,4",10669
2026-08-16T21:51:08,6,14671.2,"188,4;293,6;5009,4;4210,1;4966,4;3,3",9681.5
2026-08-16T21:51:13,6,19482,"188,4;293,6;6364,5;6287;6345,1;3,3",6120.8
2026-08-16T21:51:18,6,11009.9,"188,4;293,6;3530;3464,4;3530,1;3,3",15743.7
2026-08-16T21:51:23,6,13254.8,"188,4;293,6;4253,5;4261,8;4254,2;3,3",12912.4
2026-08-16T21:51:28,6,12268.2,"188,4;293,6;3822,9;4137,3;3822,6;3,3",14003.6
2026-08-16T21:51:33,6,18419.2,"188,4;293,6;5988,1;5969,7;5976,1;3,3",7567.5
2026-08-16T21:51:38,6,10757.3,"188,3;293,5;3459,2;3435,3;3377,6;3,3",16078.7
2026-08-16T21:51:43,6,14564.9,"188,3;293,5;4432,1;5212,4;4435,2;3,3",11180.6
2026-08-16T21:51:48,6,16220.1,"188,3;293,5;5239,2;5257,6;5238,1;3,3",9055.7
2026-08-16T21:51:53,6,18806.7,"188,3;293,5;6134,9;6067,9;6118,8;3,3",6089.9
2026-08-16T21:51:59,6,20986.6,"188,3;261,5;5915,1;7443,9;7174,3;3,3",5103.3
2026-08-16T21:52:04,6,14353.1,"188,3;261,5;4635,1;4630,4;4634,4;3,3",11424.2
2026-08-16T21:52:09,6,14211.1,"188,3;261,5;4443,4;4837,9;4476,6;3,3",11485.3
2026-08-16T21:52:14,6,19674.7,"188,3;261,5;6397;6391,5;6432,9;3,3",5652.3
2026-08-16T21:52:19,6,12162.1,"188,3;261,5;3901,4;3903,3;3904,1;3,3",13891.4
2026-08-16T21:52:24,6,14514.3,"188,3;261,5;4689,6;4698,2;4673,3;3,3",11054.2
2026-08-16T21:52:29,6,5773.6,"188,3;261,5;2117,7;1082,5;2120,2;3,3",20751.4
2026-08-16T21:52:34,6,7853.1,"188,3;261,5;2465,8;2467,4;2466,7;3,3",17332.6
2026-08-16T21:52:39,6,7829.3,"188,3;261,5;2449,4;2476,1;2450,7;3,3",16961.7
2026-08-16T21:52:44,6,6499.3,"188,3;261,5;2015,7;2011,6;2018,8;3,3",18326.1
