timestamp,n_python_processes,total_rss_mb,per_process_rss_mb,available_memory_mb
2026-08-16T22:05:42,0,0,"",26817.9
2026-08-16T22:05:47,2,66.9,"63,6;3,3",26705
2026-08-16T22:05:52,6,1521.4,"356,6;356,1;356,2;261,1;188,1;3,3",25519.1
2026-08-16T22:05:57,6,4948,"1486;1486,3;1486,7;297,4;188,3;3,3",22097.6
2026-08-16T22:06:02,6,4199.6,"1229,8;1236,2;1244,6;297,4;188,3;3,3",22787.7
2026-08-16T22:06:07,6,4419.1,"1041,7;1370,3;1518;297,4;188,3;3,3",23457.8
2026-08-16T22:06:12,6,3046.7,"851,6;852,1;854;297,4;188,3;3,3",23997.8
2026-08-16T22:06:17,6,6549.5,"2020;2019,1;2021,4;297,4;188,3;3,3",20493.9
2026-08-16T22:06:22,6,7683.2,"2401;2397,1;2396,1;297,4;188,3;3,3",19321.6
2026-08-16T22:06:27,6,3247.3,"953,3;883,9;921,2;297,4;188,3;3,3",23806.1
2026-08-16T22:06:32,6,5503.7,"1671,7;1671,7;1671,3;297,4;188,3;3,3",21541.2
2026-08-16T22:06:37,6,4227.2,"1251,1;1244;1243,2;297,4;188,3;3,3",22763.3
2026-08-16T22:06:42,6,3727.2,"1086,3;1066,4;1085,5;297,4;188,3;3,3",23334.4
2026-08-16T22:06:47,6,5555.1,"1674,2;1696,2;1695,9;297,4;188,2;3,3",21465
2026-08-16T22:06:52,6,3200.8,"1120,4;804,9;786,6;297,3;188,2;3,3",23855.9
2026-08-16T22:06:57,6,3996.7,"1108,3;929,2;1470,4;297,3;188,2;3,3",22982.4
2026-08-16T22:07:03,6,7743.1,"2349,7;2412;2492,5;297,3;188,2;3,3",19282.8
2026-08-16T22:07:08,6,9169.8,"2795,2;2905,6;2980,1;297,3;188,2;3,3",17851.3
2026-08-16T22:07:13,6,9866.9,"3111,9;3133,1;3133;297,3;188,2;3,3",17180.4
2026-08-16T22:07:18,6,8762.4,"2689,8;2758,2;2825,4;297,3;188,2;3,3",18250.2
2026-08-16T22:07:23,6,5311.9,"1811;1816,9;1195,2;297,3;188,2;3,3",21731
2026-08-16T22:07:28,6,4915.9,"1531,7;1482,3;1413,1;297,3;188,2;3,3",22126.8
2026-08-16T22:07:33,6,9938,"3706,3;2789;2953,9;297,3;188,2;3,3",17441.7
2026-08-16T22:07:38,6,9547.8,"2349,3;3701,1;3008,6;297,3;188,2;3,3",17319.3
2026-08-16T22:07:43,6,12771.4,"3972,5;4282,3;4027,8;297,3;188,2;3,3",14224
2026-08-16T22:07:48,6,7278.9,"3116,6;2046,4;1627,1;297,3;188,2;3,3",19558.1
2026-08-16T22:07:53,6,6447.7,"1852,9;2116,2;1989,8;297,3;188,2;3,3",20519.7
2026-08-16T22:07:58,6,6793.6,"2404,1;2031,4;1869,4;297,3;188,2;3,3",20210.7
2026-08-16T22:08:03,6,11337.9,"3256,5;4009,5;3589,4;291;188,2;3,3",15625.4
2026-08-16T22:08:08,6,6592,"1912,6;2196,4;2000,4;291;188,2;3,3",20839.4
2026-08-16T22:08:13,6,4515.7,"1553,5;1189,9;1289,7;291;188,2;3,3",22521.9
2026-08-16T22:08:18,6,6553,"2169,5;1793,8;2107,2;291;188,2;3,3",20723.6
2026-08-16T22:08:23,6,7158.4,"2172,6;2415;2088,3;291;188,2;3,3",19851.6
2026-08-16T22:08:28,6,5044.4,"1814,8;1524,5;1222,5;291;188,2;3,3",21929.6
2026-08-16T22:08:33,6,6753.3,"2566;1845;1859,8;291;188,2;3,3",20289.1
2026-08-16T22:08:38,6,2689.1,"979,1;802,1;425,4;291;188,2;3,3",24522.1
2026-08-16T22:08:43,6,2752,"1038,9;803,6;427;291;188,2;3,3",24291
2026-08-16T22:08:49,6,2754.4,"1039,7;804,4;427,8;291;188,2;3,3",24280.6
2026-08-16T22:08:54,6,2756.2,"1040,4;804,9;428,4;291;188,2;3,3",24300.2
2026-08-16T22:08:59,6,2757.6,"1040,9;805,4;428,9;291;188,2;3,3",24306.2
2026-08-16T22:09:04,6,2759,"1041,4;805,9;429,3;291;188,2;3,3",24267.6
2026-08-16T22:09:09,6,2760.2,"1041,7;806,2;429,7;291;188,2;3,3",24270.5
2026-08-16T22:09:14,6,2761.3,"1042,1;806,6;430,2;291;188,2;3,3",24255.6
2026-08-16T22:09:19,6,2762.4,"1042,4;806,9;430,6;291;188,2;3,3",24264.3
2026-08-16T22:09:24,6,2763.5,"1042,7;807,2;431,1;291;188,2;3,3",24259.8
2026-08-16T22:09:29,6,2764.5,"1042,9;807,4;431,7;291;188,2;3,3",24264.9
2026-08-16T22:09:34,6,2765.8,"1043,2;807,6;432,6;291;188,2;3,3",24259.4
2026-08-16T22:09:39,6,2764,"1043,4;807,9;430,3;291;188,2;3,3",24264.3
2026-08-16T22:09:44,6,2765.9,"1043,6;808,1;431,7;291;188,2;3,3",24261.5
2026-08-16T22:09:49,6,2767.1,"1043,8;808,2;432,5;291;188,2;3,3",24260.7
2026-08-16T22:09:54,6,2768,"1043,9;808,4;433,2;291;188,2;3,3",24254.2
2026-08-16T22:09:59,6,2768.8,"1044,1;808,6;433,7;291;188,2;3,3",24252.8
2026-08-16T22:10:04,6,2769.6,"1044,2;808,7;434,1;291;188,2;3,3",24254.2
2026-08-16T22:10:10,6,2770.3,"1044,4;808,9;434,5;291;188,2;3,3",24251.1
2026-08-16T22:10:15,6,2771,"1044,5;809;435;291;188,2;3,3",24253.4
2026-08-16T22:10:20,6,2771.7,"1044,7;809,1;435,4;291;188,2;3,3",24253.1
2026-08-16T22:10:25,6,2772.5,"1044,8;809,2;436;291;188,2;3,3",24232.3
2026-08-16T22:10:30,6,2773.4,"1044,9;809,4;436,7;291;188,2;3,3",24196.7
2026-08-16T22:10:35,6,2774.8,"1045;809,5;437,7;291;188,2;3,3",24205.3
2026-08-16T22:10:40,6,2643,"1045,2;809,6;305,8;291;188,2;3,3",24339.7
2026-08-16T22:10:45,6,2643.3,"1045,3;809,7;305,8;291;188,2;3,3",24344.6
2026-08-16T22:10:50,6,2643.9,"1045,5;810;305,8;291,1;188,2;3,3",24331.7
2026-08-16T22:10:55,6,2644.2,"1045,7;810,1;305,8;291,1;188,2;3,3",24370.4
2026-08-16T22:11:00,6,2644.4,"1045,8;810,2;305,8;291,1;188,2;3,3",24364.8
2026-08-16T22:11:05,6,2644.8,"1045,9;810,4;305,8;291,1;188,2;3,3",24438.2
2026-08-16T22:11:10,6,2645,"1046;810,6;305,8;291,1;188,2;3,3",24442.5
2026-08-16T22:11:15,6,2645.3,"1046,2;810,7;305,8;291,1;188,2;3,3",24421.7
2026-08-16T22:11:20,6,2645.6,"1046,3;810,9;305,8;291,1;188,2;3,3",24425.1
2026-08-16T22:11:26,6,2645.8,"1046,4;811;305,8;291,1;188,2;3,3",24426.3
2026-08-16T22:11:31,6,2646.1,"1046,5;811,1;305,8;291,1;188,2;3,3",24422.4
2026-08-16T22:11:36,6,2646.3,"1046,7;811,2;305,8;291,1;188,2;3,3",24421.4
2026-08-16T22:11:41,6,2646.4,"1046,7;811,3;305,8;291,1;188,2;3,3",24321.7
2026-08-16T22:11:46,6,2646.7,"1046,9;811,4;305,8;291,1;188,2;3,3",24302.9
2026-08-16T22:11:51,6,2646.9,"1047;811,6;305,8;291,1;188,2;3,3",24287.9
2026-08-16T22:11:56,6,2647.2,"1047,1;811,7;305,8;291,1;188,2;3,3",24299
2026-08-16T22:12:01,6,2647.4,"1047,2;811,8;305,8;291,1;188,2;3,3",24360.4
2026-08-16T22:12:06,6,2647.6,"1047,3;811,9;305,8;291,1;188,2;3,3",24353.3
